id,district_id,name,bangla,web,created_by
318,41,Kaliakair,কালিয়াকৈর,kaliakair.gazipur.gov.bd,system
319,41,Kapasia,কাপাসিয়া,kapasia.gazipur.gov.bd,system
320,41,Gazipur Sadar,গাজীপুর সদর,sadar.gazipur.gov.bd,system
321,41,Sreepur,শ্রীপুর,sreepur.gazipur.gov.bd,system
322,42,Shariatpur Sadar,শরিয়তপুর সদর,sadar.shariatpur.gov.bd,system
323,42,Naria,নড়িয়া,naria.shariatpur.gov.bd,system
324,42,Zajira,জাজিরা,zajira.shariatpur.gov.bd,system
325,42,Gosairhat,গোসাইরহাট,gosairhat.shariatpur.gov.bd,system
326,42,Bhedarganj,ভেদরগঞ্জ,bhedarganj.shariatpur.gov.bd,system
327,42,Damudya,ডামুড্যা,damudya.shariatpur.gov.bd,system
328,43,Araihazar,আড়াইহাজার,araihazar.narayanganj.gov.bd,system
329,43,Bandar,বন্দর,bandar.narayanganj.gov.bd,system
330,43,Narayanganj Sadar,নারায়নগঞ্জ সদর,narayanganjsadar.narayanganj.gov.bd,system
331,43,Rupganj,রূপগঞ্জ,rupganj.narayanganj.gov.bd,system
332,43,Sonargaon,সোনারগাঁ,sonargaon.narayanganj.gov.bd,system
333,44,Basail,বাসাইল,basail.tangail.gov.bd,system
334,44,Bhuapur,ভুয়াপুর,bhuapur.tangail.gov.bd,system
335,44,Delduar,দেলদুয়ার,delduar.tangail.gov.bd,system
336,44,Ghatail,ঘাটাইল,ghatail.tangail.gov.bd,system
337,44,Gopalpur,গোপালপুর,gopalpur.tangail.gov.bd,system
338,44,Madhupur,মধুপুর,madhupur.tangail.gov.bd,system
339,44,Mirzapur,মির্জাপুর,mirzapur.tangail.gov.bd,system
340,44,Nagarpur,নাগরপুর,nagarpur.tangail.gov.bd,system
341,44,Sakhipur,সখিপুর,sakhipur.tangail.gov.bd,system
342,44,Tangail Sadar,টাঙ্গাইল সদর,tangailsadar.tangail.gov.bd,system
343,44,Kalihati,কালিহাতী,kalihati.tangail.gov.bd,system
344,44,Dhanbari,ধনবাড়ী,dhanbari.tangail.gov.bd,system
345,45,Itna,ইটনা,itna.kishoreganj.gov.bd,system
346,45,Katiadi,কটিয়াদী,katiadi.kishoreganj.gov.bd,system
347,45,Bhairab,ভৈরব,bhairab.kishoreganj.gov.bd,system
348,45,Tarail,তাড়াইল,tarail.kishoreganj.gov.bd,system
349,45,Hossainpur,হোসেনপুর,hossainpur.kishoreganj.gov.bd,system
350,45,Pakundia,পাকুন্দিয়া,pakundia.kishoreganj.gov.bd,system
351,45,Kuliarchar,কুলিয়ারচর,kuliarchar.kishoreganj.gov.bd,system
352,45,Kishoreganj Sadar,কিশোরগঞ্জ সদর,kishoreganjsadar.kishoreganj.gov.bd,system
353,45,Karimgonj,করিমগঞ্জ,karimgonj.kishoreganj.gov.bd,system
354,45,Bajitpur,বাজিতপুর,bajitpur.kishoreganj.gov.bd,system
